time,direction
0.001,S
0.002,S
0.012,B
0.014,B
0.02,B
0.022,S
0.022,B
0.023,B
0.023,B
0.039,B
0.044,S
0.059,S
0.072,B
0.075,B
0.081,B
0.081,B
0.082,S
0.086,B
0.087,B
0.089,S
0.091,S
0.092,B
0.095,S
0.096,B
0.097,S
0.1,B
0.102,B
0.103,S
0.109,S
0.11,B
0.114,S
0.115,B
0.117,B
0.117,S
0.117,S
0.12,S
0.124,B
0.125,S
0.128,S
0.129,S
0.132,S
0.135,B
0.141,S
0.146,S
0.147,S
0.153,S
0.16,S
0.163,S
0.163,S
0.164,B
0.167,S
0.174,S
0.176,B
0.178,S
0.182,S
0.184,B
0.191,B
0.211,S
0.213,B
0.213,S
0.219,B
0.223,B
0.228,B
0.23,S
0.236,B
0.236,S
0.251,S
