time,size
0.001,1000874
0.001,1005277
0.002,1005345
0.006,997224
0.007,998967
0.012,1000016
0.014,987716
0.017,981883
0.021,985709
0.024,978227
0.025,980272
0.026,981798
0.027,982797
0.033,975422
0.035,973726
0.035,975947
0.036,977008
0.038,976587
0.038,969611
0.038,961735
0.045,962114
0.046,965798
0.046,964674
0.047,965320
0.052,963890
0.053,971787
0.069,967406
0.078,965383
0.082,966633
0.085,972262
0.088,967372
0.091,960229
0.095,960808
0.096,964691
0.096,971278
0.098,970973
0.109,960081
0.111,958155
0.113,964983
0.114,962023
0.119,955735
0.12,947898
0.127,945834
0.128,950444
0.13,948684
0.132,948142
0.134,949944
0.136,953447
0.139,958722
0.142,949360
0.15,949472
0.151,955329
0.154,966148
0.158,959748
0.16,954215
0.162,957890
0.163,961891
0.166,956690
0.166,952781
0.168,960663
0.174,964143
0.178,963785
0.18,968356
0.184,963643
0.187,958173
0.189,959339
0.189,964385
0.191,964634
0.196,952316
0.198,947406
0.207,939577
0.21,951217
0.217,951470
0.217,952172
0.219,945777
0.223,938596
0.233,940291
0.239,937676
0.241,936004
