time,direction
0.002,B
0.007,S
0.011,B
0.019,S
0.021,B
0.025,S
0.025,S
0.025,B
0.037,S
0.037,S
0.038,B
0.04,S
0.043,B
0.048,S
0.054,B
0.057,B
0.064,S
0.065,S
0.067,B
0.073,S
0.073,S
0.073,B
0.078,B
0.083,B
0.084,S
0.086,S
0.097,B
0.108,B
0.109,S
0.119,S
0.125,B
0.125,S
0.131,S
0.137,S
0.138,S
0.142,S
0.144,B
0.152,S
0.163,S
0.165,B
0.168,S
0.169,S
0.178,S
0.179,S
0.19,S
0.192,S
0.195,B
0.199,S
0.199,B
0.203,S
0.203,S
0.204,B
0.206,S
0.209,B
0.218,S
0.219,S
0.219,B
0.222,S
0.222,S
0.222,S
0.223,S
0.224,S
0.225,S
0.226,S
0.23,S
0.237,S
0.256,S
