time,direction
0.001,S
0.002,B
0.002,S
0.006,S
0.008,S
0.008,B
0.012,B
0.012,B
0.015,B
0.019,B
0.02,B
0.02,S
0.022,B
0.024,S
0.027,B
0.027,B
0.034,S
0.035,B
0.038,S
0.04,S
0.04,S
0.049,B
0.05,S
0.051,B
0.057,S
0.059,S
0.06,S
0.06,S
0.06,B
0.063,B
0.066,B
0.075,S
0.093,B
0.095,S
0.097,S
0.097,B
0.1,S
0.103,S
0.106,S
0.116,B
0.126,S
0.128,S
0.129,S
0.131,S
0.142,B
0.147,S
0.164,B
0.165,S
0.171,B
0.171,B
0.171,B
0.171,B
0.173,S
0.179,S
0.183,B
0.186,S
0.199,B
0.203,S
0.205,B
0.206,S
0.21,B
0.211,B
0.224,S
0.229,B
0.231,B
0.232,B
0.237,B
0.239,B
0.243,S
