time,direction
8.936,S
11.428,S
11.977,B
12.358,S
12.556,S
12.796,S
16.315,S
22.156,S
22.422,S
29.434,B
31.096,S
32.974,B
34.678,B
36.656,S
37.904,B
38.693,B
39.742,B
39.895,B
40.666,S
46.821,S
46.845,S
50.015,S
51.465,S
53.518,S
59.563,S
60.586,S
62.176,S
63.932,B
74.189,S
75.013,S
75.449,B
77.056,B
77.643,B
78.392,S
81.583,S
81.846,B
82.686,S
85.397,S
88.163,S
92.551,B
94.021,B
94.107,S
95.916,B
98.555,S
98.615,S
99.618,S
100.808,S
104.869,S
105.195,S
105.885,B
109.423,S
112.287,S
117.69,B
118.645,S
118.909,S
121.255,B
122.346,B
122.414,B
124.033,S
126.223,S
126.71,S
131.382,S
131.587,B
137.247,B
139.258,S
142.423,S
145.443,B
148.884,B
149.335,B
150.528,S
151.079,B
154.415,S
156.086,S
158.851,B
159.226,B
159.884,S
161.983,S
162.147,S
165.03,S
166.54,B
169.774,S
170.53,B
174.718,B
174.94,S
180.791,B
181.773,B
182.071,S
182.213,S
183.057,S
183.558,S
184.136,S
188.761,S
191.502,B
194.946,S
200.293,S
200.62,S
200.774,B
201.237,B
201.278,B
204.628,B
209.944,B
215.095,S
215.942,S
216.931,S
217.759,S
219.495,B
224.362,B
227.638,B
233.784,S
234.985,S
236.203,S
237.179,B
237.289,S
237.575,B
238.376,S
239.753,S
240.776,S
