time,direction
1.92,S
2.735,B
6.369,S
24.092,S
24.846,B
31.608,B
36.619,B
45.749,S
46.167,B
46.176,B
53.071,B
55.557,B
56.119,S
56.783,B
58.672,S
59.944,B
61.379,S
62.723,B
63.097,S
68.414,B
75.452,S
77.463,B
77.72,S
80.787,B
93.693,S
99.733,B
100.233,S
102.056,S
102.347,S
106.236,S
107.718,S
116.862,B
120.712,S
128.95,B
129.569,B
129.654,S
130.591,S
135.083,S
144.721,S
147.044,B
152.533,B
152.971,B
158.272,S
158.93,S
160.617,S
165.118,S
165.547,B
169.684,S
171.298,B
172.916,S
176.158,B
188.268,S
190.476,S
192.867,B
193.591,S
200.712,S
201.148,B
202.604,B
204.338,B
210.681,S
216.397,B
224.476,B
231.093,S
231.365,B
234.068,S
236.141,S
240.028,B
