time,direction
0.776,S
2.126,S
3.21,S
3.45,S
16.735,S
26.224,B
31.533,B
31.734,B
37.206,S
37.376,S
44.518,B
53.406,B
54.409,S
54.648,S
73.21,S
76.402,B
78.877,S
87.266,S
89.207,B
106.782,B
111.117,B
114.138,B
117.498,B
124.062,S
126.865,B
132.246,B
133.636,S
134.415,B
137.176,B
138.777,B
141.607,B
147.039,B
149.369,B
154.786,B
155.605,B
160.688,B
163.083,B
163.812,B
168.109,S
170.838,S
175.871,B
177.548,S
185.098,S
186.877,S
192.483,S
195.322,S
196.855,B
198.147,S
206.857,S
207.232,S
216.559,S
217.334,S
220.531,B
225.364,S
225.465,B
230.339,B
239.504,S
241.156,S
