time,direction
3.744,S
5.937,S
7.951,S
9.914,B
11.69,B
14.916,B
15.53,B
16.359,B
22.667,S
23.687,B
29.013,S
31.818,S
32.184,S
33.957,B
34.383,S
36.274,B
38.168,S
39.097,S
41.544,B
43.988,B
44.908,S
45.187,B
46.741,B
48.229,B
48.65,S
48.777,B
50.165,S
50.794,S
51.18,B
51.407,S
53.174,S
60.132,B
60.69,B
61.168,B
65.013,B
67.179,B
68.5,S
73.128,S
75.953,S
77.502,S
78.941,B
80.238,S
83.116,B
83.226,B
84.201,B
84.522,S
87.518,B
94.434,B
95.965,S
103.552,B
103.883,S
107.37,B
115.898,S
115.928,B
117.558,S
129.287,S
130.484,S
131.48,B
131.752,B
132.299,S
133.967,S
136.411,S
136.99,S
137.031,B
137.783,S
139.144,S
139.624,S
140.184,S
141.757,B
142.804,S
143.532,B
148.037,B
153.748,S
155.822,B
158.711,B
160.713,B
162.68,S
163.289,B
164.64,S
166.501,S
168.277,S
168.528,S
173.004,B
174.24,S
174.611,S
179.467,B
183.523,S
188.553,S
190.455,B
192.079,S
193.766,S
195.098,B
195.793,S
200.238,S
201.494,B
205.048,B
213.515,B
214.028,S
220.029,B
224.636,S
227.287,S
229.234,S
230.389,B
232.308,B
235.404,B
236.04,B
239.658,B
241.856,S
