time,direction
4.144,S
4.942,S
6.039,S
6.246,B
12.659,B
13.268,S
13.855,B
16.351,S
16.981,B
18.684,S
18.715,S
19.67,B
23.36,S
27.608,B
27.877,B
28.092,B
34.792,B
37.535,S
38.678,B
50.169,S
50.245,S
51.836,S
53.818,S
56.055,B
56.506,B
57.478,S
61.29,S
62.587,B
67.577,S
68.011,S
72.479,S
80.279,S
83.207,S
85.418,S
89.231,S
98.237,S
99.184,B
101.978,S
103.954,S
104.027,B
104.368,B
110.1,S
110.617,S
117.966,S
123.719,S
125.947,S
126.564,S
138.921,B
141.784,S
145.093,S
145.504,S
146.998,B
156.399,B
157.709,B
158.861,S
159.286,S
160.288,S
161.85,B
164.661,S
165.96,B
176.879,B
177.034,S
181.675,S
190.276,B
192.001,S
202.35,S
202.88,B
208.644,S
214.072,S
223.288,B
226.006,B
232.031,B
235.581,S
239.724,S
241.919,B
