time,size
4.554,1008913
6.153,1008631
10.748,1011366
20.643,1025250
21.178,1028172
26.274,1028660
42.115,1029085
42.315,1031274
49.154,1028608
53.067,1025000
58.176,1033090
59.221,1032191
61.913,1023506
63.604,1024267
67.136,1028195
67.274,1021242
69.114,1020563
77.257,1019899
78.757,1022619
91.11,1026985
94.863,1023387
99.605,1022107
106.095,1022632
107.129,1028392
107.212,1026475
108.598,1027058
109.45,1026030
110.475,1027542
110.893,1023949
111.095,1033337
117.277,1028314
123.11,1022509
125.273,1023915
125.979,1021706
136.851,1024766
141.96,1023274
142.164,1028765
143.268,1023406
145.29,1022548
145.72,1031311
149.435,1027808
153.668,1034399
156.127,1035005
160.322,1033949
163.666,1033200
164.266,1032785
172.893,1033107
174.322,1046010
175.625,1036739
176.427,1034901
181.223,1032359
183.299,1037140
186.165,1038407
188.907,1035510
197.066,1027703
201.678,1022971
201.776,1023311
206.206,1020934
206.425,1019441
209.325,1012761
210.571,1009777
215.071,1017750
216.958,1024578
221.739,1028363
227.602,1026598
228.083,1025338
233.445,1021836
236.787,1026524
238.554,1026815
245.592,1021825
