time,size
1.119,990521
7.803,990708
7.92,992990
10.075,997676
10.19,994178
14.112,1003427
20.366,996077
29.579,989623
32.111,981605
35.995,982705
37.741,976544
40.231,960639
47.567,969327
51.302,973187
64.707,963875
70.019,954188
71.513,949529
72.992,939772
73.852,942170
75.359,935302
78.116,935926
81.267,934309
94.72,934967
97.374,938526
104.812,931582
114.328,933514
118.96,932143
120.708,925651
127.717,934077
133.034,929592
134.257,924975
137.505,927394
138.456,931154
150.088,923703
163.523,916923
172.34,914430
175.007,916615
181.62,916565
186.886,914958
188.713,916772
188.79,917505
196.864,920623
208.733,923383
210.37,919792
213.183,914764
217.981,918144
219.15,920183
221.919,918324
223.367,917217
227.545,908879
229.509,911132
237.619,906126
237.682,905512
240.136,910276
