time,direction
0.0,B
0.001,S
0.001,S
0.006,B
0.007,B
0.007,S
0.011,S
0.02,B
0.029,B
0.03,B
0.03,B
0.046,S
0.047,B
0.053,B
0.058,S
0.063,S
0.069,B
0.07,S
0.075,B
0.076,B
0.078,S
0.08,S
0.081,B
0.083,S
0.084,S
0.087,B
0.102,B
0.103,B
0.106,S
0.111,S
0.112,B
0.114,S
0.115,S
0.115,B
0.115,B
0.116,S
0.125,B
0.127,S
0.127,S
0.135,B
0.145,B
0.148,B
0.149,S
0.151,S
0.17,B
0.172,B
0.173,B
0.174,B
0.176,S
0.177,S
0.179,B
0.182,S
0.189,B
0.192,S
0.193,S
0.201,B
0.203,S
0.204,S
0.206,S
0.209,S
0.215,S
0.215,B
0.219,S
0.221,S
0.222,B
0.222,S
0.226,B
0.231,S
0.235,B
0.255,S
