time,size
0.005,999611
0.008,1000669
0.008,1002306
0.017,1004325
0.017,1000229
0.018,994027
0.018,995935
0.024,994975
0.026,994559
0.031,990479
0.032,989559
0.035,993079
0.038,986430
0.039,983277
0.048,980517
0.055,974694
0.056,974749
0.057,973977
0.058,974050
0.059,979630
0.061,982444
0.064,988145
0.065,992043
0.069,997949
0.069,994881
0.075,996970
0.075,997324
0.077,993596
0.079,986393
0.083,981846
0.083,985345
0.087,987084
0.088,982618
0.088,980322
0.09,976847
0.092,974298
0.095,976581
0.095,976570
0.098,974407
0.099,969143
0.1,979359
0.1,975070
0.101,970622
0.112,969414
0.123,962290
0.125,954851
0.127,949296
0.131,949082
0.133,954649
0.135,944637
0.137,946250
0.14,938726
0.143,942185
0.147,934691
0.152,933497
0.165,933919
0.168,931783
0.174,924905
0.175,917791
0.176,919716
0.176,908967
0.177,908183
0.177,902785
0.18,904449
0.181,903077
0.186,900730
0.187,906077
0.189,907423
0.192,908726
0.199,912276
0.206,916195
0.207,917676
0.212,921224
0.213,919861
0.218,921040
0.218,919348
0.221,914731
0.221,918106
0.223,920236
0.229,923267
0.229,915688
0.229,921331
0.238,930446
0.239,928215
0.247,926235
