time,direction
0.002,S
0.002,B
0.006,B
0.013,S
0.023,S
0.026,B
0.027,B
0.046,B
0.046,B
0.048,S
0.049,S
0.05,B
0.055,S
0.055,B
0.056,S
0.057,B
0.057,B
0.058,B
0.058,B
0.06,B
0.064,S
0.069,B
0.07,S
0.074,B
0.074,S
0.079,B
0.081,B
0.083,B
0.084,S
0.084,S
0.089,S
0.092,B
0.094,S
0.097,S
0.099,B
0.099,B
0.101,S
0.104,S
0.11,S
0.112,B
0.116,B
0.117,S
0.117,S
0.123,S
0.126,S
0.137,B
0.142,S
0.145,S
0.146,B
0.148,B
0.149,B
0.15,S
0.154,S
0.154,B
0.155,S
0.155,S
0.155,S
0.16,S
0.161,B
0.162,B
0.169,B
0.17,B
0.176,S
0.18,S
0.18,B
0.186,B
0.191,B
0.192,B
0.194,B
0.196,S
0.2,B
0.201,S
0.203,S
0.204,B
0.211,B
0.223,B
0.224,B
0.225,S
0.228,S
0.233,S
0.235,S
0.245,S
