time,direction
0.001,S
0.004,B
0.009,S
0.015,B
0.021,S
0.036,S
0.04,B
0.04,S
0.048,B
0.059,S
0.063,B
0.066,B
0.071,S
0.08,B
0.08,S
0.083,S
0.086,B
0.087,B
0.088,B
0.089,S
0.092,B
0.093,S
0.094,B
0.098,S
0.099,B
0.1,B
0.104,B
0.105,S
0.111,S
0.112,S
0.112,B
0.112,B
0.116,S
0.122,B
0.124,S
0.134,B
0.135,S
0.138,B
0.139,S
0.145,B
0.15,B
0.152,S
0.159,B
0.166,S
0.167,B
0.169,B
0.171,B
0.171,B
0.174,S
0.187,S
0.188,B
0.189,S
0.2,B
0.205,B
0.209,B
0.21,B
0.21,B
0.214,B
0.221,S
0.227,S
0.229,B
0.23,S
0.232,S
0.234,B
0.244,B
