time,direction
0.704,S
6.221,B
7.251,S
10.956,B
12.398,B
13.914,B
14.892,S
16.502,S
17.225,B
18.69,B
22.523,S
26.467,B
27.994,S
29.063,S
30.842,S
31.534,S
33.765,S
35.952,S
39.598,S
39.755,B
42.796,B
43.54,S
44.941,S
45.285,B
50.345,B
52.592,B
54.881,B
57.326,S
57.644,B
60.334,B
61.631,B
62.972,B
66.283,S
66.78,B
67.093,S
73.137,B
73.337,B
75.25,S
76.993,S
82.176,S
83.933,B
86.1,S
89.708,S
98.596,S
99.338,S
99.96,S
100.549,S
102.916,S
105.19,B
107.398,S
108.232,B
109.038,S
109.127,S
110.726,S
111.24,S
111.51,B
112.989,B
113.913,B
118.264,B
120.288,B
121.585,S
126.692,S
127.612,B
128.4,S
128.616,S
129.313,S
131.778,S
133.022,S
134.905,B
137.222,B
139.69,S
142.806,S
143.76,B
144.217,B
150.246,B
151.099,S
159.302,B
161.666,B
163.173,B
163.785,B
163.894,B
164.224,S
167.001,B
168.296,B
168.985,S
169.061,S
170.789,B
172.749,S
177.093,S
178.956,S
181.526,S
182.656,B
183.916,B
184.732,B
188.201,S
189.145,S
190.044,B
196.096,S
197.962,S
199.135,B
204.938,S
205.468,S
205.672,S
205.704,S
205.732,S
205.992,S
207.531,B
208.4,B
209.658,S
211.224,B
211.28,S
211.93,B
217.345,S
218.324,S
218.687,S
219.254,B
219.529,S
221.984,S
225.737,B
227.656,S
228.681,B
233.533,S
236.934,S
237.982,S
238.151,B
242.669,S
