time,direction
0.62,S
1.613,B
2.121,B
3.269,S
3.576,S
5.109,B
6.077,B
6.622,B
7.101,B
9.602,B
10.985,S
11.915,S
16.361,S
16.426,S
19.037,B
20.798,B
21.024,B
25.494,B
25.821,S
31.799,B
32.453,B
32.605,B
35.188,B
37.404,B
37.731,B
40.081,B
46.441,S
46.809,B
49.986,S
51.563,B
52.732,S
53.275,S
59.083,B
59.336,B
65.012,S
69.819,B
74.763,B
76.328,S
77.1,S
78.3,B
81.727,B
84.301,B
85.62,S
88.913,B
89.062,S
90.576,B
90.7,S
90.72,B
91.543,B
92.185,S
94.126,B
95.032,S
95.221,S
97.035,S
101.939,S
104.296,B
106.999,S
109.124,S
109.646,B
109.7,B
111.885,B
114.577,B
114.598,S
115.357,B
116.295,B
117.034,S
117.486,B
118.865,S
119.106,S
119.915,B
120.321,S
123.687,B
123.926,B
125.597,S
134.19,S
138.495,B
138.643,B
140.594,B
141.514,B
144.731,B
149.04,S
159.753,S
160.082,S
161.841,S
167.421,S
172.458,S
175.687,B
175.971,B
176.087,S
177.015,B
177.35,S
180.911,S
181.527,B
181.682,B
182.789,S
188.415,B
190.567,S
191.764,S
192.67,S
193.899,S
194.349,B
195.899,B
200.571,S
203.308,S
205.681,B
211.511,B
213.112,S
213.171,B
214.896,S
215.02,B
216.445,B
222.154,B
222.506,S
224.389,B
225.013,S
227.506,B
227.508,S
228.705,S
229.086,B
229.261,B
229.784,B
232.363,B
232.978,S
233.203,S
233.776,B
235.108,S
239.407,B
244.613,S
