time,direction
0.515,S
1.703,S
2.879,B
2.97,B
4.73,B
4.852,B
9.135,S
9.564,S
11.36,B
12.371,B
12.96,S
13.714,B
13.781,B
15.279,S
17.519,B
18.413,S
21.012,S
23.31,B
26.209,S
28.317,B
30.477,S
31.611,B
33.523,S
34.711,B
35.373,B
36.737,S
37.106,S
38.889,B
39.029,S
40.474,S
46.635,S
48.855,S
54.152,B
56.118,S
60.941,B
61.062,B
63.922,S
74.676,S
76.319,B
77.341,S
80.983,B
81.536,S
82.766,S
83.558,S
83.937,B
84.182,S
85.205,S
86.494,B
95.165,B
96.384,S
97.231,B
98.828,B
100.866,B
102.975,B
103.169,B
103.79,B
104.794,B
105.434,B
109.183,S
109.474,S
111.276,S
111.672,S
112.144,B
114.403,B
115.699,S
118.453,B
119.042,S
121.961,S
123.175,S
125.446,S
127.802,B
129.064,B
131.91,B
132.706,B
136.008,S
137.513,S
139.12,S
140.276,B
141.412,B
142.984,B
145.429,B
148.138,B
150.629,B
153.332,B
154.381,S
161.458,S
162.021,B
163.305,B
163.949,B
171.855,S
175.674,S
178.418,S
179.128,S
179.238,S
184.769,B
188.346,B
189.954,B
190.037,B
190.988,B
191.634,B
195.076,S
200.166,B
200.48,S
201.094,S
201.741,B
201.953,B
208.231,S
210.311,B
210.918,S
212.479,B
214.17,S
216.986,S
226.77,B
227.091,B
228.202,S
229.862,B
230.764,B
230.993,B
232.923,S
233.511,S
234.728,S
236.917,B
238.237,S
239.039,B
239.42,S
239.759,B
249.79,S
