time,direction
4.049,S
4.91,S
6.753,S
15.407,B
21.294,B
23.215,B
27.967,S
29.84,S
30.102,S
42.992,S
45.13,S
46.291,S
59.845,S
59.899,B
66.744,B
68.279,B
70.749,S
71.471,S
73.77,S
82.392,S
83.243,S
91.592,B
95.807,S
100.29,B
101.013,B
108.875,B
111.058,S
112.333,S
112.815,B
115.014,B
123.269,B
125.99,S
135.738,S
138.714,S
139.777,S
146.549,S
151.711,S
153.159,B
156.643,S
157.028,B
157.117,B
157.885,B
164.934,B
165.875,B
166.33,S
168.394,B
175.623,B
187.58,B
187.844,S
188.941,S
192.182,S
197.687,S
199.353,B
201.421,B
206.197,S
209.433,S
225.772,B
226.214,S
227.732,S
229.147,S
230.878,B
237.324,B
242.484,B
