time,direction
6.732,S
9.022,B
12.417,S
13.23,S
17.682,S
21.227,B
33.473,B
39.523,S
49.908,S
50.195,B
63.465,B
65.431,B
73.684,S
75.63,B
78.417,S
81.11,B
84.816,B
86.189,S
90.545,S
92.609,B
96.958,B
98.638,B
101.109,B
108.648,B
113.486,S
115.207,B
117.79,S
119.771,S
120.158,B
124.241,B
126.88,S
128.377,S
128.648,S
133.503,B
144.511,S
146.813,B
152.723,S
153.229,S
155.608,S
165.365,S
171.526,S
172.672,S
176.318,S
176.501,S
177.059,B
182.86,B
188.726,B
195.028,S
197.868,S
198.925,S
202.8,S
204.423,S
205.217,S
206.133,B
206.718,S
219.535,B
221.422,B
223.449,B
226.541,B
231.457,B
234.235,S
234.309,S
234.429,S
235.96,B
237.732,S
263.144,B
