time,market_id,new_fundamental
14.524,1,994010
24.259,1,983157
26.56,1,981752
27.109,1,981732
33.02,1,984401
34.153,1,980189
39.342,1,983826
39.581,1,986028
41.667,1,982909
48.79,1,984318
48.933,1,989320
49.051,1,990349
49.405,1,995147
49.698,1,989995
51.304,1,980226
51.969,1,984843
56.562,1,983640
58.539,1,984353
59.083,1,987282
61.027,1,983823
63.601,1,984287
63.872,1,994441
65.328,1,981866
73.32,1,975852
83.582,1,963088
84.015,1,960196
85.014,1,961248
85.689,1,959838
86.603,1,968622
90.962,1,973404
92.186,1,966840
100.928,1,957791
103.766,1,960394
112.475,1,955418
116.775,1,944851
120.27,1,955975
120.917,1,953528
122.267,1,947893
122.32,1,946484
130.722,1,946483
131.33,1,949248
131.957,1,947884
132.675,1,949083
137.521,1,956785
138.004,1,958539
139.962,1,951832
141.703,1,948157
141.776,1,951204
144.585,1,950335
155.862,1,952927
157.598,1,939346
162.016,1,931037
164.355,1,938788
166.222,1,931313
168.291,1,927783
168.895,1,929370
170.524,1,930395
173.047,1,928336
183.494,1,932997
185.012,1,934812
185.064,1,937293
187.022,1,936371
191.096,1,934685
191.865,1,932380
193.319,1,924315
199.453,1,917415
201.022,1,917540
202.344,1,919400
204.389,1,917704
206.726,1,926852
210.117,1,919807
210.297,1,923978
213.048,1,925389
214.526,1,923717
215.438,1,922209
217.824,1,921589
218.505,1,927471
221.939,1,930460
223.327,1,919037
224.097,1,912104
231.663,1,907545
232.027,1,902899
233.083,1,900402
235.996,1,907221
236.087,1,909433
240.583,1,907330
