time,direction
0.003,B
0.008,S
0.009,B
0.011,B
0.018,S
0.019,B
0.021,S
0.022,B
0.034,B
0.041,B
0.042,B
0.044,S
0.054,S
0.057,B
0.06,S
0.068,S
0.072,S
0.075,B
0.078,B
0.08,B
0.081,S
0.083,B
0.092,S
0.094,S
0.096,B
0.1,B
0.103,B
0.108,B
0.112,B
0.113,B
0.118,B
0.119,B
0.122,B
0.124,B
0.125,S
0.128,S
0.132,S
0.134,S
0.134,B
0.135,B
0.147,B
0.15,S
0.166,S
0.174,S
0.18,B
0.184,B
0.187,B
0.195,S
0.2,S
0.2,S
0.206,B
0.208,S
0.209,B
0.212,B
0.215,B
0.215,B
0.221,S
0.221,S
0.224,S
0.224,B
0.225,S
0.226,B
0.229,B
0.24,S
