time,direction
8.377,B
11.469,S
14.732,B
23.59,B
25.225,B
26.504,S
31.293,S
32.878,B
36.744,B
42.013,S
42.041,S
45.888,S
46.397,S
50.552,S
55.301,B
55.417,B
60.427,S
64.311,B
68.529,B
71.303,S
75.252,B
86.295,B
88.083,B
95.067,B
97.525,S
97.824,S
98.431,S
99.513,B
102.341,S
106.788,S
112.282,S
120.486,S
123.737,S
126.753,B
130.747,S
138.624,B
150.291,S
152.949,B
153.488,B
153.918,S
153.975,S
155.163,B
176.895,S
177.885,S
183.332,S
189.909,B
190.507,S
191.701,B
195.561,S
200.243,B
204.83,B
213.962,S
215.923,S
220.584,B
226.002,B
227.686,S
230.582,B
231.085,S
240.146,B
