time,direction
1.105,S
2.264,S
4.905,S
12.258,S
14.253,S
23.355,S
24.258,S
29.374,S
39.647,S
40.887,S
42.138,S
48.93,B
53.665,S
58.061,S
60.21,S
61.614,B
66.598,S
75.754,S
77.626,B
86.207,B
86.496,S
87.439,B
87.74,S
88.972,B
90.497,B
96.02,B
99.026,S
112.108,S
126.557,B
128.081,B
145.33,B
158.055,B
160.402,S
161.002,S
163.39,B
165.005,S
165.935,S
168.575,S
169.683,B
174.569,S
177.475,B
184.218,B
187.547,B
194.783,S
200.187,B
200.562,S
204.468,B
213.586,S
213.63,S
215.31,B
218.033,B
219.353,B
219.839,S
220.271,S
222.01,S
223.706,S
230.511,S
241.449,B
