time,direction
1.75,B
3.053,B
3.723,S
4.081,B
4.116,S
5.967,B
8.254,B
8.648,B
9.694,S
10.288,S
13.889,S
14.208,S
15.661,B
17.351,S
22.001,B
22.886,B
24.566,S
25.504,B
25.606,B
25.959,B
26.984,B
29.315,B
32.927,B
35.714,S
36.443,S
40.304,B
45.268,B
47.534,B
48.933,S
49.36,S
51.311,B
52.04,S
55.453,S
56.977,S
58.659,S
59.728,B
59.923,B
60.411,S
65.051,B
66.872,B
71.005,B
74.016,B
74.094,B
76.501,B
76.901,B
77.653,S
77.842,B
78.663,B
78.671,B
79.162,B
80.051,B
80.436,S
81.949,B
82.488,S
83.311,S
85.181,B
85.55,B
86.17,S
87.558,S
89.919,B
98.545,B
99.619,B
100.353,B
100.776,S
107.999,B
108.82,B
109.6,S
110.515,S
111.18,B
112.543,B
118.216,S
122.832,S
124.609,S
125.565,S
127.215,B
128.617,B
135.844,S
136.026,S
136.588,B
136.842,B
138.429,S
143.295,B
144.5,B
144.574,S
147.335,S
147.542,S
150.394,B
151.524,B
153.277,B
157.79,S
159.593,B
166.465,B
166.528,S
167.803,B
172.139,B
176.509,S
179.382,S
181.033,S
190.984,S
196.144,B
197.035,S
201.876,B
205.191,B
209.094,S
209.741,B
210.19,S
213.234,B
214.92,B
216.006,S
217.675,B
222.672,S
225.278,B
226.427,S
228.308,S
229.55,S
232.489,B
235.965,S
238.671,S
239.137,S
240.409,B
