time,direction
1.718,B
3.442,B
4.119,S
4.658,B
5.706,B
7.277,S
7.564,S
7.872,S
8.779,S
8.876,S
9.787,B
10.025,S
10.766,S
10.84,B
11.565,S
11.725,B
13.623,B
21.384,B
29.251,S
30.332,B
32.165,S
39.267,B
41.764,S
45.897,B
46.495,B
47.584,B
51.309,S
56.855,B
59.89,S
60.908,S
62.729,B
65.61,B
68.975,S
71.559,B
75.745,S
76.674,B
77.962,B
78.531,S
80.625,S
81.373,B
81.714,S
82.263,S
82.291,S
84.92,B
91.875,B
97.643,B
101.095,S
106.873,S
107.442,S
108.667,B
108.837,B
109.381,B
109.592,B
114.544,B
114.544,S
114.835,S
115.739,S
116.851,S
118.919,B
119.199,S
121.841,B
122.994,B
123.304,S
124.173,B
124.609,B
126.354,B
129.056,S
134.171,B
134.649,S
135.222,B
141.062,S
142.32,B
144.434,B
145.971,S
148.739,B
149.585,B
150.052,B
151.45,B
154.319,B
160.828,B
166.017,S
172.368,S
173.009,S
173.498,B
175.978,S
177.899,B
180.704,S
182.038,B
182.274,B
184.55,S
192.006,B
193.414,S
195.178,S
200.137,S
207.84,S
209.281,S
209.441,B
212.765,S
213.137,B
213.465,S
217.428,S
221.019,S
221.544,S
223.781,S
225.303,S
225.458,B
225.654,B
228.274,B
228.814,S
229.325,B
229.503,B
231.904,S
232.41,B
233.607,S
234.13,B
234.689,S
235.868,B
235.881,B
239.718,S
242.904,S
