time,direction
0.737,S
7.342,S
9.606,S
9.814,B
10.624,S
10.875,S
12.416,S
16.184,S
18.41,B
26.489,B
31.22,S
31.819,S
34.581,B
35.772,S
40.928,B
42.762,B
50.174,B
50.207,B
52.616,S
55.88,B
59.045,S
62.969,S
66.29,S
71.586,S
73.254,S
76.89,S
80.698,B
81.114,S
87.774,S
94.195,B
96.784,S
108.715,S
114.475,B
136.4,S
136.733,B
142.028,S
142.109,B
144.093,S
144.275,S
148.008,S
156.23,B
163.743,S
164.264,B
167.311,B
168.418,S
173.81,S
176.247,B
176.674,S
177.391,B
177.421,B
180.395,S
188.309,S
197.247,S
198.395,S
201.922,B
206.365,S
207.097,S
208.486,B
211.021,S
219.259,B
224.726,S
226.263,S
227.218,B
227.846,S
229.451,B
245.289,S
