time,direction
0.001,S
0.008,S
0.013,S
0.019,S
0.025,B
0.025,S
0.027,S
0.03,B
0.041,S
0.041,S
0.052,S
0.055,S
0.055,S
0.058,S
0.059,S
0.059,B
0.059,B
0.062,S
0.067,S
0.068,S
0.069,S
0.078,B
0.083,S
0.084,S
0.089,B
0.09,S
0.101,B
0.102,S
0.103,S
0.103,B
0.104,B
0.107,S
0.109,S
0.112,S
0.118,S
0.119,S
0.121,B
0.122,B
0.124,B
0.132,B
0.135,B
0.136,B
0.137,S
0.139,B
0.142,B
0.143,S
0.144,S
0.156,S
0.157,S
0.158,S
0.158,B
0.16,S
0.175,S
0.176,S
0.179,B
0.181,S
0.184,B
0.185,B
0.188,S
0.189,S
0.19,B
0.195,B
0.198,S
0.199,B
0.203,B
0.211,B
0.213,B
0.216,B
0.222,S
0.223,S
0.228,S
0.232,B
0.232,S
0.237,S
0.242,S
