time,direction
8.971,B
9.221,S
14.781,S
22.266,S
26.005,B
42.604,S
48.247,B
63.362,B
66.92,B
67.25,S
67.449,S
67.471,S
70.476,S
71.391,B
75.805,B
81.335,S
82.42,S
83.369,S
89.01,S
91.45,S
107.968,S
108.542,B
111.943,B
114.319,S
117.864,S
119.082,B
120.208,S
124.002,S
130.608,S
132.302,S
136.56,S
147.54,S
149.651,B
149.901,S
150.295,S
153.797,S
154.388,S
162.991,S
169.763,S
169.954,B
171.127,S
172.792,B
178.226,B
182.307,B
182.633,S
184.047,B
184.984,B
193.627,B
194.029,B
194.109,S
200.828,S
204.321,S
211.639,B
217.546,S
217.616,B
219.362,S
224.075,S
227.882,S
228.859,B
229.325,S
232.783,B
235.974,B
246.074,S
