time,direction
0.001,S
0.007,B
0.009,S
0.022,B
0.03,S
0.034,B
0.041,B
0.041,S
0.045,S
0.052,B
0.055,B
0.059,B
0.063,B
0.064,S
0.066,S
0.07,B
0.071,B
0.072,S
0.072,B
0.076,S
0.076,B
0.076,S
0.078,B
0.079,B
0.085,S
0.09,B
0.099,B
0.099,B
0.102,S
0.106,S
0.106,S
0.107,B
0.107,S
0.116,S
0.118,B
0.127,S
0.133,S
0.136,S
0.142,S
0.145,S
0.148,S
0.149,S
0.157,S
0.159,B
0.168,S
0.169,S
0.174,S
0.176,S
0.178,B
0.179,S
0.183,S
0.19,S
0.195,S
0.199,B
0.202,S
0.205,B
0.21,S
0.211,S
0.215,S
0.218,B
0.22,B
0.221,B
0.223,S
0.225,B
0.236,S
0.244,B
