time,direction
2.833,S
3.508,B
5.107,S
12.827,S
23.173,S
26.123,S
27.904,B
34.479,B
38.921,B
40.034,S
49.676,S
51.18,B
60.763,S
60.958,S
63.708,S
64.603,S
68.081,S
71.908,B
72.073,B
74.531,S
78.834,B
78.843,S
81.476,S
86.179,S
93.829,S
95.784,S
96.357,S
109.624,B
118.069,S
119.319,B
122.954,S
125.067,S
128.803,B
132.038,B
132.362,S
132.502,S
135.047,B
137.208,B
145.353,S
159.211,S
162.85,S
176.166,S
176.448,B
184.198,S
189.925,S
193.256,B
193.615,S
197.753,B
197.765,B
199.559,B
208.163,B
210.459,S
224.55,B
227.841,B
231.057,S
231.776,B
237.209,S
237.38,S
237.416,B
237.537,B
242.323,B
