time,direction
0.004,B
0.007,B
0.011,B
0.02,S
0.029,B
0.032,B
0.033,B
0.034,S
0.034,B
0.036,B
0.037,S
0.037,S
0.038,S
0.042,B
0.043,S
0.046,S
0.046,S
0.06,S
0.061,S
0.061,S
0.061,S
0.067,B
0.071,S
0.077,B
0.081,S
0.082,B
0.083,B
0.087,B
0.089,S
0.09,B
0.09,S
0.093,S
0.109,S
0.111,B
0.118,B
0.12,S
0.133,S
0.134,S
0.143,S
0.156,B
0.162,S
0.163,B
0.172,S
0.177,B
0.178,B
0.179,B
0.183,S
0.185,B
0.185,B
0.199,S
0.203,B
0.204,S
0.206,S
0.211,S
0.215,B
0.218,S
0.219,S
0.224,B
0.225,S
0.231,B
0.235,B
0.238,S
0.239,B
0.239,S
0.24,S
