time,size
13.623,998141
20.072,1003922
22.636,1001795
24.804,1005697
28.834,1008735
30.031,1009269
31.277,1004216
31.908,1013168
32.546,1012428
33.933,1002052
34.607,1004051
36.111,1010707
38.369,1000966
43.25,1006939
51.959,1008814
59.668,1012734
64.07,1011299
64.667,1022196
72.102,1014474
72.264,1021139
78.952,1026922
87.413,1024932
88.986,1030183
90.304,1029850
94.058,1036714
96.807,1031072
104.786,1035330
105.618,1034399
106.404,1039021
107.23,1031125
109.202,1025083
109.268,1035906
113.037,1028908
115.827,1016559
133.298,1014134
133.524,1013074
134.259,1007046
134.887,1014881
139.07,1017705
142.61,1012393
143.467,1009279
146.177,1019145
148.859,1022739
151.538,1014387
151.882,1019573
152.036,1006680
157.188,997953
157.989,1006278
158.943,1010754
162.791,1008994
163.505,1008421
171.531,1007735
180.297,1011494
184.381,1017286
187.863,1025233
194.897,1019658
195.216,1025198
198.413,1031250
204.612,1030359
206.188,1036557
210.208,1031406
210.385,1028380
211.012,1030204
212.21,1037120
213.81,1043239
216.054,1035522
221.496,1034148
221.744,1026775
224.014,1026317
225.812,1034279
230.201,1045301
231.955,1041227
234.142,1042668
237.35,1036470
237.433,1035853
237.709,1031118
242.265,1033596
