time,direction
0.0,B
0.001,B
0.003,S
0.004,S
0.007,B
0.009,B
0.011,B
0.016,S
0.024,B
0.027,S
0.039,S
0.042,B
0.045,S
0.049,S
0.051,S
0.053,B
0.057,B
0.058,B
0.058,S
0.059,B
0.064,S
0.065,S
0.067,S
0.072,B
0.073,S
0.078,S
0.083,B
0.085,S
0.087,B
0.094,B
0.094,S
0.096,B
0.097,B
0.098,B
0.104,B
0.108,B
0.109,S
0.11,B
0.115,S
0.115,B
0.119,S
0.121,S
0.121,B
0.125,S
0.128,B
0.132,B
0.135,B
0.138,B
0.14,B
0.142,B
0.142,S
0.144,S
0.144,S
0.146,B
0.148,B
0.149,S
0.149,B
0.153,B
0.154,S
0.155,B
0.158,S
0.158,B
0.159,B
0.162,S
0.164,B
0.164,S
0.171,B
0.173,B
0.175,B
0.175,B
0.175,B
0.178,B
0.18,B
0.184,S
0.185,B
0.191,B
0.191,S
0.193,B
0.196,S
0.197,B
0.199,B
0.2,S
0.206,B
0.213,B
0.221,S
0.222,B
0.223,S
0.226,S
0.232,B
0.232,B
0.236,S
0.25,B
