time,direction
0.002,S
0.006,S
0.007,S
0.014,B
0.017,B
0.023,S
0.024,B
0.025,B
0.026,B
0.027,S
0.033,B
0.038,S
0.042,S
0.056,B
0.059,B
0.061,B
0.069,S
0.071,S
0.073,B
0.076,S
0.08,S
0.081,S
0.082,B
0.084,S
0.096,B
0.097,S
0.1,S
0.102,S
0.115,B
0.12,S
0.121,S
0.129,S
0.131,S
0.133,S
0.134,B
0.134,S
0.137,B
0.141,S
0.142,S
0.144,B
0.144,B
0.147,S
0.148,B
0.148,B
0.158,S
0.168,S
0.168,B
0.168,S
0.177,S
0.179,S
0.179,B
0.18,B
0.184,B
0.185,S
0.189,B
0.201,S
0.218,B
0.22,B
0.222,B
0.23,S
0.23,B
0.242,B
