time,direction
0.0,B
0.005,S
0.005,B
0.019,S
0.022,B
0.026,S
0.027,S
0.029,B
0.033,B
0.041,B
0.047,S
0.051,S
0.061,S
0.063,B
0.063,S
0.069,S
0.077,S
0.077,B
0.081,S
0.081,B
0.082,S
0.09,B
0.094,B
0.099,S
0.11,S
0.11,S
0.112,B
0.121,B
0.121,B
0.122,B
0.123,S
0.125,B
0.126,B
0.127,S
0.136,B
0.137,S
0.14,B
0.147,B
0.147,S
0.15,S
0.153,B
0.164,B
0.165,B
0.167,S
0.169,B
0.174,S
0.174,B
0.181,S
0.181,S
0.183,S
0.188,B
0.191,B
0.192,S
0.195,S
0.196,S
0.196,B
0.198,S
0.2,B
0.202,B
0.202,B
0.205,S
0.208,S
0.211,S
0.219,S
0.219,S
0.233,S
0.234,B
0.237,S
0.238,B
0.241,B
