time,direction
0.002,B
0.003,B
0.005,B
0.007,B
0.013,B
0.015,S
0.018,B
0.019,S
0.019,S
0.019,B
0.022,B
0.03,B
0.036,S
0.038,B
0.043,B
0.05,S
0.053,B
0.053,S
0.056,B
0.056,S
0.062,S
0.064,B
0.068,S
0.073,S
0.075,B
0.081,B
0.083,B
0.085,S
0.088,B
0.093,S
0.093,B
0.097,S
0.103,B
0.108,B
0.11,S
0.111,B
0.112,B
0.114,B
0.122,B
0.128,S
0.133,B
0.14,B
0.142,B
0.145,S
0.152,B
0.155,S
0.158,B
0.162,B
0.166,S
0.168,B
0.18,S
0.191,B
0.195,S
0.203,S
0.216,S
0.216,S
0.217,S
0.217,S
0.218,S
0.219,S
0.222,S
0.222,B
0.222,B
0.233,B
0.234,S
0.243,S
