time,direction
0.002,S
0.006,S
0.012,B
0.013,B
0.014,B
0.016,B
0.028,S
0.03,B
0.031,S
0.039,B
0.046,B
0.047,B
0.055,B
0.058,B
0.074,S
0.077,B
0.08,S
0.08,B
0.083,B
0.09,B
0.093,B
0.095,B
0.097,B
0.097,S
0.098,B
0.108,B
0.108,S
0.114,S
0.117,S
0.118,S
0.121,B
0.121,S
0.123,S
0.128,B
0.133,S
0.135,S
0.145,S
0.155,S
0.157,B
0.158,B
0.166,B
0.166,B
0.168,S
0.17,B
0.17,B
0.172,B
0.173,B
0.176,S
0.179,B
0.182,S
0.188,S
0.191,B
0.192,B
0.197,S
0.197,S
0.198,S
0.199,S
0.201,S
0.211,B
0.218,S
0.218,B
0.219,S
0.221,S
0.222,S
0.223,S
0.225,B
0.225,B
0.228,B
0.235,B
0.235,S
0.241,S
