time,size
0.001,1012983
0.002,1015750
0.003,1000948
0.019,1004170
0.031,996125
0.032,996881
0.034,1005963
0.039,1001820
0.042,1002285
0.046,992617
0.049,1002895
0.049,1005037
0.051,1007193
0.053,1004781
0.059,1002051
0.06,1008198
0.06,1002581
0.061,1004217
0.062,996186
0.064,993695
0.067,999216
0.069,1005151
0.069,1000754
0.071,1003083
0.072,1002677
0.076,1006784
0.081,1013623
0.082,1010413
0.084,1005991
0.091,1002755
0.096,1009546
0.099,1013142
0.101,1015160
0.101,1011105
0.104,1006818
0.104,1008419
0.105,1007327
0.107,1008515
0.107,1003598
0.107,1007090
0.109,1018085
0.11,1021045
0.11,1030641
0.111,1030668
0.112,1035488
0.112,1035947
0.115,1033781
0.118,1033432
0.119,1032604
0.127,1037694
0.128,1035664
0.131,1044400
0.133,1045962
0.134,1037509
0.15,1037435
0.151,1033480
0.153,1032549
0.16,1027042
0.16,1027637
0.16,1026108
0.164,1017086
0.168,1012595
0.172,1013054
0.176,1021927
0.178,1023850
0.179,1026572
0.18,1023814
0.18,1017320
0.187,1014227
0.194,1010600
0.196,1007090
0.208,1009156
0.208,1019497
0.211,1024876
0.211,1032045
0.214,1034255
0.219,1033353
0.219,1035692
0.222,1033494
0.222,1017662
0.235,1011678
0.236,1013449
0.238,1007917
0.245,1011238
