time,direction
0.01,S
0.012,S
0.017,S
0.023,B
0.024,B
0.024,S
0.029,B
0.034,B
0.034,S
0.037,B
0.042,S
0.05,B
0.052,B
0.054,S
0.058,B
0.058,B
0.059,S
0.061,B
0.061,B
0.061,S
0.08,B
0.082,B
0.087,B
0.09,S
0.091,S
0.094,B
0.099,B
0.1,B
0.107,B
0.113,B
0.114,S
0.122,B
0.125,S
0.127,B
0.13,B
0.138,S
0.139,B
0.149,S
0.152,B
0.159,B
0.166,S
0.167,S
0.171,S
0.171,B
0.174,B
0.179,S
0.18,S
0.186,S
0.188,S
0.198,B
0.201,B
0.202,B
0.208,S
0.214,S
0.218,S
0.218,B
0.219,S
0.225,S
0.226,B
0.23,B
0.231,S
0.231,B
0.234,S
0.253,B
