time,direction
3.665,S
7.273,B
8.718,S
16.103,B
16.57,S
36.172,S
36.594,B
39.241,S
39.242,B
42.365,S
42.385,B
44.235,B
51.145,B
57.232,S
58.667,B
60.688,S
65.943,S
66.365,S
66.529,S
68.101,S
83.674,S
84.946,B
86.565,S
96.19,S
96.596,B
102.512,S
102.706,B
109.66,B
112.468,B
114.425,S
114.635,S
121.741,B
134.015,S
138.613,S
145.827,B
152.197,B
156.825,B
164.57,S
165.283,B
180.179,S
181.744,S
182.407,B
182.878,S
188.929,S
194.792,S
214.922,S
219.109,S
223.626,S
224.965,S
228.717,B
229.612,B
240.26,B
