time,direction
3.371,B
3.872,S
7.112,B
8.171,B
13.469,B
17.838,B
19.481,B
20.001,B
20.913,B
23.206,S
24.532,B
25.759,B
30.627,S
31.385,S
32.283,B
32.744,B
36.171,S
36.369,S
38.841,S
39.007,S
39.1,S
39.423,B
39.909,S
40.273,S
42.466,S
42.669,B
44.169,B
46.94,S
47.566,B
52.247,S
53.43,B
57.354,S
59.284,S
60.464,B
64.394,S
66.52,B
68.18,S
70.307,S
70.564,S
72.933,B
75.328,B
77.618,S
81.996,B
82.324,B
82.896,B
83.392,S
83.608,S
83.975,S
85.15,B
88.268,B
94.593,S
95.299,S
95.397,S
99.979,B
101.225,S
102.513,S
102.913,S
103.468,S
103.713,S
106.332,B
108.437,B
111.784,S
113.103,B
113.439,S
114.348,B
115.303,B
118.515,B
119.186,S
120.346,B
122.543,B
123.116,B
125.038,B
126.963,B
130.598,B
136.052,S
139.473,S
142.063,S
142.707,B
144.101,S
145.731,B
147.352,S
151.677,B
154.621,B
156.25,S
156.306,B
156.488,B
159.055,B
160.235,B
162.193,S
164.644,B
166.299,S
166.345,B
168.516,S
169.378,B
177.963,S
180.115,B
182.555,S
182.941,S
187.163,S
187.486,S
188.772,B
194.813,S
195.543,B
196.024,B
199.415,S
202.037,B
205.406,S
209.526,S
211.907,B
213.497,B
215.639,B
217.051,S
219.127,B
219.467,B
220.964,S
221.828,S
222.885,S
226.49,S
227.32,B
228.522,B
229.121,B
230.542,B
231.541,B
232.848,B
235.338,B
235.867,S
239.748,B
241.19,S
