time,direction
0.645,B
4.079,S
6.792,S
9.532,B
10.721,B
21.892,S
24.757,B
44.855,S
50.914,S
57.561,S
60.865,S
61.27,S
62.662,S
63.379,S
65.084,S
65.957,S
68.718,B
77.31,S
78.398,S
83.879,B
85.599,B
88.849,S
91.494,S
97.661,S
103.454,B
112.034,B
113.223,S
119.78,B
134.985,B
140.081,B
142.493,S
150.815,S
151.227,S
153.273,B
157.299,S
158.05,S
163.349,S
167.464,S
167.508,S
167.96,B
169.64,B
170.238,S
174.69,B
178.378,S
179.583,B
183.4,B
195.821,S
199.463,S
201.631,S
203.999,B
206.642,B
209.42,B
212.955,S
213.317,S
213.979,B
215.918,B
216.119,S
227.034,S
234.449,S
241.529,S
