time,direction
1.123,B
9.35,B
10.624,B
20.469,S
22.186,S
26.098,B
39.391,S
44.664,B
46.113,B
58.162,S
58.881,S
59.459,S
60.251,B
63.482,B
65.339,B
69.456,S
74.338,S
75.18,B
76.185,S
78.155,S
87.327,S
92.491,S
95.992,B
97.452,B
101.353,S
107.415,B
109.072,S
122.914,B
123.048,B
123.068,B
124.313,B
126.795,B
128.489,B
131.397,S
145.176,S
153.889,S
155.137,S
158.957,B
164.17,S
169.643,B
172.55,B
172.977,B
176.42,B
183.887,B
185.889,B
193.731,S
195.895,S
196.184,S
196.78,S
227.142,S
232.301,B
233.266,B
235.123,B
240.158,S
