time,direction
2.937,S
6.389,S
6.586,B
6.75,S
13.519,S
13.729,S
14.447,S
16.703,B
17.887,B
18.058,S
23.326,B
25.45,B
25.978,B
28.047,B
28.087,S
28.543,S
31.049,S
32.758,S
37.683,S
38.927,B
45.566,B
48.803,S
51.846,S
52.853,B
55.695,S
56.226,B
59.114,S
61.234,B
62.926,B
62.978,S
64.054,S
65.789,S
68.655,B
71.61,S
72.884,B
80.456,S
80.8,B
83.038,S
83.498,B
84.109,B
86.332,S
86.362,S
86.529,S
88.495,B
89.104,S
89.844,S
91.03,S
93.393,B
93.683,B
94.112,S
97.166,B
97.211,S
98.422,S
105.049,B
106.136,B
109.601,S
110.089,S
110.294,S
114.121,B
117.67,B
118.331,S
119.927,S
120.588,B
121.315,B
122.336,B
125.674,S
126.774,B
127.489,S
127.588,S
130.311,S
131.99,B
133.718,S
133.836,B
134.375,S
136.402,B
138.381,S
138.765,S
140.309,B
140.447,B
141.946,B
144.616,B
147.229,B
151.558,B
158.624,S
160.279,B
161.227,S
162.029,S
162.637,B
162.974,S
164.731,S
167.62,S
168.883,B
169.386,S
171.756,S
172.228,S
173.777,B
177.778,B
179.705,B
180.419,B
180.488,B
182.61,B
183.961,B
184.466,S
184.612,B
187.493,B
189.505,B
191.155,B
192.071,B
192.152,B
192.24,B
192.588,S
194.19,S
194.821,B
195.63,S
201.296,B
202.321,B
203.598,S
204.237,B
205.148,S
205.73,S
206.994,S
207.581,B
207.914,B
210.321,B
210.751,B
210.883,S
212.108,B
217.521,B
217.961,B
218.343,S
219.763,S
220.997,B
222.956,S
223.046,S
226.469,B
228.677,S
228.903,B
230.291,S
231.475,B
231.55,B
231.833,S
232.812,B
233.403,S
240.037,B
