time,direction
0.384,B
0.627,S
1.314,S
1.635,B
1.825,S
2.591,B
2.646,S
4.515,S
5.504,S
5.821,B
6.359,S
8.187,B
9.549,B
10.432,B
12.592,B
12.692,S
21.265,S
24.902,S
28.042,B
29.695,B
30.02,B
31.745,B
32.129,S
34.104,B
36.325,S
36.98,S
38.307,B
43.534,B
44.037,B
45.849,S
46.852,B
49.404,B
52.976,S
56.359,B
56.55,S
58.05,S
58.204,B
58.516,S
59.69,S
60.678,S
67.431,B
68.27,S
69.13,S
73.731,B
74.584,B
76.204,B
77.436,B
78.186,B
83.37,S
89.946,S
92.422,S
92.719,S
96.261,B
101.829,S
102.1,S
102.142,B
104.424,B
104.789,B
106.37,B
107.241,B
111.382,B
111.486,S
112.366,S
114.338,S
115.389,S
117.506,S
119.453,B
121.008,S
121.55,S
123.701,B
124.707,B
127.357,B
130.155,B
132.073,B
133.584,B
139.321,B
154.806,S
155.318,S
157.162,B
158.078,B
163.017,B
166.074,B
171.806,B
175.61,S
177.569,S
181.168,S
186.844,B
187.294,B
188.565,B
189.205,S
189.274,B
190.007,S
190.408,B
190.614,S
191.044,S
191.321,S
193.456,B
196.851,B
199.396,B
202.438,S
202.603,S
203.345,S
208.349,B
209.016,S
209.496,S
213.456,B
214.616,S
216.89,B
219.13,S
228.384,S
231.925,B
234.447,B
234.628,B
236.109,B
236.337,B
236.807,B
237.672,B
238.534,B
239.637,S
253.545,B
